eps, theta_weight, weight_power, dist_bgo, rec_vs, z0_vert 
0.6, 0.125, 0, 25, 898, 473 
0.6, 0.125, 0, 50, 1294, 580 
0.6, 0.125, 0, 75, 1406, 549 
0.6, 0.125, 0, 100, 1487, 530 
0.6, 0.125, 0.25, 25, 880, 472 
0.6, 0.125, 0.25, 50, 1267, 578 
0.6, 0.125, 0.25, 75, 1398, 546 
0.6, 0.125, 0.25, 100, 1486, 529 
0.6, 0.125, 0.5, 25, 849, 477 
0.6, 0.125, 0.5, 50, 1233, 582 
0.6, 0.125, 0.5, 75, 1374, 550 
0.6, 0.125, 0.5, 100, 1468, 532 
0.6, 0.125, 0.75, 25, 811, 476 
0.6, 0.125, 0.75, 50, 1212, 582 
0.6, 0.125, 0.75, 75, 1347, 553 
0.6, 0.125, 0.75, 100, 1452, 535 
0.6, 0.125, 1, 25, 805, 480 
0.6, 0.125, 1, 50, 1195, 583 
0.6, 0.125, 1, 75, 1342, 553 
0.6, 0.125, 1, 100, 1447, 537 
0.6, 0.25, 0, 25, 898, 473 
0.6, 0.25, 0, 50, 1294, 580 
0.6, 0.25, 0, 75, 1406, 549 
0.6, 0.25, 0, 100, 1487, 530 
0.6, 0.25, 0.25, 25, 880, 472 
0.6, 0.25, 0.25, 50, 1267, 578 
0.6, 0.25, 0.25, 75, 1398, 546 
0.6, 0.25, 0.25, 100, 1486, 529 
0.6, 0.25, 0.5, 25, 849, 477 
0.6, 0.25, 0.5, 50, 1233, 582 
0.6, 0.25, 0.5, 75, 1374, 550 
0.6, 0.25, 0.5, 100, 1468, 532 
0.6, 0.25, 0.75, 25, 811, 476 
0.6, 0.25, 0.75, 50, 1212, 582 
0.6, 0.25, 0.75, 75, 1347, 553 
0.6, 0.25, 0.75, 100, 1452, 535 
0.6, 0.25, 1, 25, 805, 480 
0.6, 0.25, 1, 50, 1195, 583 
0.6, 0.25, 1, 75, 1342, 553 
0.6, 0.25, 1, 100, 1447, 537 
0.6, 0.5, 0, 25, 898, 473 
0.6, 0.5, 0, 50, 1294, 580 
0.6, 0.5, 0, 75, 1406, 549 
0.6, 0.5, 0, 100, 1487, 530 
0.6, 0.5, 0.25, 25, 880, 472 
0.6, 0.5, 0.25, 50, 1267, 578 
0.6, 0.5, 0.25, 75, 1398, 546 
0.6, 0.5, 0.25, 100, 1486, 529 
0.6, 0.5, 0.5, 25, 849, 477 
0.6, 0.5, 0.5, 50, 1233, 582 
0.6, 0.5, 0.5, 75, 1374, 550 
0.6, 0.5, 0.5, 100, 1468, 532 
0.6, 0.5, 0.75, 25, 811, 476 
0.6, 0.5, 0.75, 50, 1212, 582 
0.6, 0.5, 0.75, 75, 1347, 553 
0.6, 0.5, 0.75, 100, 1452, 535 
0.6, 0.5, 1, 25, 805, 480 
0.6, 0.5, 1, 50, 1195, 583 
0.6, 0.5, 1, 75, 1342, 553 
0.6, 0.5, 1, 100, 1447, 537 
0.6, 0.75, 0, 25, 898, 473 
0.6, 0.75, 0, 50, 1294, 580 
0.6, 0.75, 0, 75, 1406, 549 
0.6, 0.75, 0, 100, 1487, 530 
0.6, 0.75, 0.25, 25, 880, 472 
0.6, 0.75, 0.25, 50, 1267, 578 
0.6, 0.75, 0.25, 75, 1398, 546 
0.6, 0.75, 0.25, 100, 1486, 529 
0.6, 0.75, 0.5, 25, 849, 477 
0.6, 0.75, 0.5, 50, 1233, 582 
0.6, 0.75, 0.5, 75, 1374, 550 
0.6, 0.75, 0.5, 100, 1468, 532 
0.6, 0.75, 0.75, 25, 811, 476 
0.6, 0.75, 0.75, 50, 1212, 582 
0.6, 0.75, 0.75, 75, 1347, 553 
0.6, 0.75, 0.75, 100, 1452, 535 
0.6, 0.75, 1, 25, 805, 480 
0.6, 0.75, 1, 50, 1195, 583 
0.6, 0.75, 1, 75, 1342, 553 
0.6, 0.75, 1, 100, 1447, 537 
0.6, 1, 0, 25, 898, 473 
0.6, 1, 0, 50, 1294, 580 
0.6, 1, 0, 75, 1406, 549 
0.6, 1, 0, 100, 1487, 530 
0.6, 1, 0.25, 25, 880, 472 
0.6, 1, 0.25, 50, 1267, 578 
0.6, 1, 0.25, 75, 1398, 546 
0.6, 1, 0.25, 100, 1486, 529 
0.6, 1, 0.5, 25, 849, 477 
0.6, 1, 0.5, 50, 1233, 582 
0.6, 1, 0.5, 75, 1374, 550 
0.6, 1, 0.5, 100, 1468, 532 
0.6, 1, 0.75, 25, 811, 476 
0.6, 1, 0.75, 50, 1212, 582 
0.6, 1, 0.75, 75, 1347, 553 
0.6, 1, 0.75, 100, 1452, 535 
0.6, 1, 1, 25, 805, 480 
0.6, 1, 1, 50, 1195, 583 
0.6, 1, 1, 75, 1342, 553 
0.6, 1, 1, 100, 1447, 537 
0.7, 0.125, 0, 25, 906, 472 
0.7, 0.125, 0, 50, 1311, 579 
0.7, 0.125, 0, 75, 1422, 548 
0.7, 0.125, 0, 100, 1503, 527 
0.7, 0.125, 0.25, 25, 891, 472 
0.7, 0.125, 0.25, 50, 1291, 577 
0.7, 0.125, 0.25, 75, 1418, 544 
0.7, 0.125, 0.25, 100, 1501, 526 
0.7, 0.125, 0.5, 25, 865, 475 
0.7, 0.125, 0.5, 50, 1256, 579 
0.7, 0.125, 0.5, 75, 1401, 547 
0.7, 0.125, 0.5, 100, 1486, 528 
0.7, 0.125, 0.75, 25, 823, 474 
0.7, 0.125, 0.75, 50, 1230, 580 
0.7, 0.125, 0.75, 75, 1378, 551 
0.7, 0.125, 0.75, 100, 1474, 531 
0.7, 0.125, 1, 25, 807, 478 
0.7, 0.125, 1, 50, 1209, 580 
0.7, 0.125, 1, 75, 1365, 551 
0.7, 0.125, 1, 100, 1466, 533 
0.7, 0.25, 0, 25, 906, 472 
0.7, 0.25, 0, 50, 1311, 579 
0.7, 0.25, 0, 75, 1422, 548 
0.7, 0.25, 0, 100, 1503, 527 
0.7, 0.25, 0.25, 25, 891, 472 
0.7, 0.25, 0.25, 50, 1291, 577 
0.7, 0.25, 0.25, 75, 1418, 544 
0.7, 0.25, 0.25, 100, 1501, 526 
0.7, 0.25, 0.5, 25, 865, 475 
0.7, 0.25, 0.5, 50, 1256, 579 
0.7, 0.25, 0.5, 75, 1401, 547 
0.7, 0.25, 0.5, 100, 1486, 528 
0.7, 0.25, 0.75, 25, 823, 474 
0.7, 0.25, 0.75, 50, 1230, 580 
0.7, 0.25, 0.75, 75, 1378, 551 
0.7, 0.25, 0.75, 100, 1474, 531 
0.7, 0.25, 1, 25, 807, 478 
0.7, 0.25, 1, 50, 1209, 580 
0.7, 0.25, 1, 75, 1365, 551 
0.7, 0.25, 1, 100, 1466, 533 
0.7, 0.5, 0, 25, 906, 472 
0.7, 0.5, 0, 50, 1311, 579 
0.7, 0.5, 0, 75, 1422, 548 
0.7, 0.5, 0, 100, 1503, 527 
0.7, 0.5, 0.25, 25, 891, 472 
0.7, 0.5, 0.25, 50, 1291, 577 
0.7, 0.5, 0.25, 75, 1418, 544 
0.7, 0.5, 0.25, 100, 1501, 526 
0.7, 0.5, 0.5, 25, 865, 475 
0.7, 0.5, 0.5, 50, 1256, 579 
0.7, 0.5, 0.5, 75, 1401, 547 
0.7, 0.5, 0.5, 100, 1486, 528 
0.7, 0.5, 0.75, 25, 823, 474 
0.7, 0.5, 0.75, 50, 1230, 580 
0.7, 0.5, 0.75, 75, 1378, 551 
0.7, 0.5, 0.75, 100, 1474, 531 
0.7, 0.5, 1, 25, 807, 478 
0.7, 0.5, 1, 50, 1209, 580 
0.7, 0.5, 1, 75, 1365, 551 
0.7, 0.5, 1, 100, 1466, 533 
0.7, 0.75, 0, 25, 906, 472 
0.7, 0.75, 0, 50, 1311, 579 
0.7, 0.75, 0, 75, 1422, 548 
0.7, 0.75, 0, 100, 1503, 527 
0.7, 0.75, 0.25, 25, 891, 472 
0.7, 0.75, 0.25, 50, 1291, 577 
0.7, 0.75, 0.25, 75, 1418, 544 
0.7, 0.75, 0.25, 100, 1501, 526 
0.7, 0.75, 0.5, 25, 865, 475 
0.7, 0.75, 0.5, 50, 1256, 579 
0.7, 0.75, 0.5, 75, 1401, 547 
0.7, 0.75, 0.5, 100, 1486, 528 
0.7, 0.75, 0.75, 25, 823, 474 
0.7, 0.75, 0.75, 50, 1230, 580 
0.7, 0.75, 0.75, 75, 1378, 551 
0.7, 0.75, 0.75, 100, 1474, 531 
0.7, 0.75, 1, 25, 807, 478 
0.7, 0.75, 1, 50, 1209, 580 
0.7, 0.75, 1, 75, 1365, 551 
0.7, 0.75, 1, 100, 1466, 533 
0.7, 1, 0, 25, 906, 472 
0.7, 1, 0, 50, 1311, 579 
0.7, 1, 0, 75, 1422, 548 
0.7, 1, 0, 100, 1503, 527 
0.7, 1, 0.25, 25, 891, 472 
0.7, 1, 0.25, 50, 1291, 577 
0.7, 1, 0.25, 75, 1418, 544 
0.7, 1, 0.25, 100, 1501, 526 
0.7, 1, 0.5, 25, 865, 475 
0.7, 1, 0.5, 50, 1256, 579 
0.7, 1, 0.5, 75, 1401, 547 
0.7, 1, 0.5, 100, 1486, 528 
0.7, 1, 0.75, 25, 823, 474 
0.7, 1, 0.75, 50, 1230, 580 
0.7, 1, 0.75, 75, 1378, 551 
0.7, 1, 0.75, 100, 1474, 531 
0.7, 1, 1, 25, 807, 478 
0.7, 1, 1, 50, 1209, 580 
0.7, 1, 1, 75, 1365, 551 
0.7, 1, 1, 100, 1466, 533 
0.8, 0.125, 0, 25, 827, 441 
0.8, 0.125, 0, 50, 1221, 554 
0.8, 0.125, 0, 75, 1385, 524 
0.8, 0.125, 0, 100, 1475, 505 
0.8, 0.125, 0.25, 25, 757, 446 
0.8, 0.125, 0.25, 50, 1181, 549 
0.8, 0.125, 0.25, 75, 1355, 522 
0.8, 0.125, 0.25, 100, 1451, 504 
0.8, 0.125, 0.5, 25, 737, 445 
0.8, 0.125, 0.5, 50, 1139, 553 
0.8, 0.125, 0.5, 75, 1333, 519 
0.8, 0.125, 0.5, 100, 1441, 503 
0.8, 0.125, 0.75, 25, 702, 443 
0.8, 0.125, 0.75, 50, 1093, 557 
0.8, 0.125, 0.75, 75, 1296, 524 
0.8, 0.125, 0.75, 100, 1431, 504 
0.8, 0.125, 1, 25, 679, 447 
0.8, 0.125, 1, 50, 1075, 559 
0.8, 0.125, 1, 75, 1271, 524 
0.8, 0.125, 1, 100, 1414, 509 
0.8, 0.25, 0, 25, 827, 441 
0.8, 0.25, 0, 50, 1221, 554 
0.8, 0.25, 0, 75, 1385, 524 
0.8, 0.25, 0, 100, 1475, 505 
0.8, 0.25, 0.25, 25, 757, 446 
0.8, 0.25, 0.25, 50, 1181, 549 
0.8, 0.25, 0.25, 75, 1355, 522 
0.8, 0.25, 0.25, 100, 1451, 504 
0.8, 0.25, 0.5, 25, 737, 445 
0.8, 0.25, 0.5, 50, 1139, 553 
0.8, 0.25, 0.5, 75, 1333, 519 
0.8, 0.25, 0.5, 100, 1441, 503 
0.8, 0.25, 0.75, 25, 702, 443 
0.8, 0.25, 0.75, 50, 1093, 557 
0.8, 0.25, 0.75, 75, 1296, 524 
0.8, 0.25, 0.75, 100, 1431, 504 
0.8, 0.25, 1, 25, 679, 447 
0.8, 0.25, 1, 50, 1075, 559 
0.8, 0.25, 1, 75, 1271, 524 
0.8, 0.25, 1, 100, 1414, 509 
0.8, 0.5, 0, 25, 827, 441 
0.8, 0.5, 0, 50, 1221, 554 
0.8, 0.5, 0, 75, 1385, 524 
0.8, 0.5, 0, 100, 1475, 505 
0.8, 0.5, 0.25, 25, 757, 446 
0.8, 0.5, 0.25, 50, 1181, 549 
0.8, 0.5, 0.25, 75, 1355, 522 
0.8, 0.5, 0.25, 100, 1451, 504 
0.8, 0.5, 0.5, 25, 737, 445 
0.8, 0.5, 0.5, 50, 1139, 553 
0.8, 0.5, 0.5, 75, 1333, 519 
0.8, 0.5, 0.5, 100, 1441, 503 
0.8, 0.5, 0.75, 25, 702, 443 
0.8, 0.5, 0.75, 50, 1093, 557 
0.8, 0.5, 0.75, 75, 1296, 524 
0.8, 0.5, 0.75, 100, 1431, 504 
0.8, 0.5, 1, 25, 679, 447 
0.8, 0.5, 1, 50, 1075, 559 
0.8, 0.5, 1, 75, 1271, 524 
0.8, 0.5, 1, 100, 1414, 509 
0.8, 0.75, 0, 25, 827, 441 
0.8, 0.75, 0, 50, 1221, 554 
0.8, 0.75, 0, 75, 1385, 524 
0.8, 0.75, 0, 100, 1475, 505 
0.8, 0.75, 0.25, 25, 757, 446 
0.8, 0.75, 0.25, 50, 1181, 549 
0.8, 0.75, 0.25, 75, 1355, 522 
0.8, 0.75, 0.25, 100, 1451, 504 
0.8, 0.75, 0.5, 25, 737, 445 
0.8, 0.75, 0.5, 50, 1139, 553 
0.8, 0.75, 0.5, 75, 1333, 519 
0.8, 0.75, 0.5, 100, 1441, 503 
0.8, 0.75, 0.75, 25, 702, 443 
0.8, 0.75, 0.75, 50, 1093, 557 
0.8, 0.75, 0.75, 75, 1296, 524 
0.8, 0.75, 0.75, 100, 1431, 504 
0.8, 0.75, 1, 25, 679, 447 
0.8, 0.75, 1, 50, 1075, 559 
0.8, 0.75, 1, 75, 1271, 524 
0.8, 0.75, 1, 100, 1414, 509 
0.8, 1, 0, 25, 827, 441 
0.8, 1, 0, 50, 1221, 554 
0.8, 1, 0, 75, 1385, 524 
0.8, 1, 0, 100, 1475, 505 
0.8, 1, 0.25, 25, 757, 446 
0.8, 1, 0.25, 50, 1181, 549 
0.8, 1, 0.25, 75, 1355, 522 
0.8, 1, 0.25, 100, 1451, 504 
0.8, 1, 0.5, 25, 737, 445 
0.8, 1, 0.5, 50, 1139, 553 
0.8, 1, 0.5, 75, 1333, 519 
0.8, 1, 0.5, 100, 1441, 503 
0.8, 1, 0.75, 25, 702, 443 
0.8, 1, 0.75, 50, 1093, 557 
0.8, 1, 0.75, 75, 1296, 524 
0.8, 1, 0.75, 100, 1431, 504 
0.8, 1, 1, 25, 679, 447 
0.8, 1, 1, 50, 1075, 559 
0.8, 1, 1, 75, 1271, 524 
0.8, 1, 1, 100, 1414, 509 
0.9, 0.125, 0, 25, 802, 432 
0.9, 0.125, 0, 50, 1212, 543 
0.9, 0.125, 0, 75, 1393, 514 
0.9, 0.125, 0, 100, 1485, 496 
0.9, 0.125, 0.25, 25, 744, 437 
0.9, 0.125, 0.25, 50, 1158, 540 
0.9, 0.125, 0.25, 75, 1357, 513 
0.9, 0.125, 0.25, 100, 1464, 495 
0.9, 0.125, 0.5, 25, 720, 435 
0.9, 0.125, 0.5, 50, 1125, 543 
0.9, 0.125, 0.5, 75, 1330, 511 
0.9, 0.125, 0.5, 100, 1443, 495 
0.9, 0.125, 0.75, 25, 690, 435 
0.9, 0.125, 0.75, 50, 1083, 547 
0.9, 0.125, 0.75, 75, 1302, 516 
0.9, 0.125, 0.75, 100, 1429, 496 
0.9, 0.125, 1, 25, 665, 437 
0.9, 0.125, 1, 50, 1064, 548 
0.9, 0.125, 1, 75, 1281, 516 
0.9, 0.125, 1, 100, 1417, 501 
0.9, 0.25, 0, 25, 802, 432 
0.9, 0.25, 0, 50, 1212, 543 
0.9, 0.25, 0, 75, 1393, 514 
0.9, 0.25, 0, 100, 1485, 496 
0.9, 0.25, 0.25, 25, 744, 437 
0.9, 0.25, 0.25, 50, 1158, 540 
0.9, 0.25, 0.25, 75, 1357, 513 
0.9, 0.25, 0.25, 100, 1464, 495 
0.9, 0.25, 0.5, 25, 720, 435 
0.9, 0.25, 0.5, 50, 1125, 543 
0.9, 0.25, 0.5, 75, 1330, 511 
0.9, 0.25, 0.5, 100, 1443, 495 
0.9, 0.25, 0.75, 25, 690, 435 
0.9, 0.25, 0.75, 50, 1083, 547 
0.9, 0.25, 0.75, 75, 1302, 516 
0.9, 0.25, 0.75, 100, 1429, 496 
0.9, 0.25, 1, 25, 665, 437 
0.9, 0.25, 1, 50, 1064, 548 
0.9, 0.25, 1, 75, 1281, 516 
0.9, 0.25, 1, 100, 1417, 501 
0.9, 0.5, 0, 25, 802, 432 
0.9, 0.5, 0, 50, 1212, 543 
0.9, 0.5, 0, 75, 1393, 514 
0.9, 0.5, 0, 100, 1485, 496 
0.9, 0.5, 0.25, 25, 744, 437 
0.9, 0.5, 0.25, 50, 1158, 540 
0.9, 0.5, 0.25, 75, 1357, 513 
0.9, 0.5, 0.25, 100, 1464, 495 
0.9, 0.5, 0.5, 25, 720, 435 
0.9, 0.5, 0.5, 50, 1125, 543 
0.9, 0.5, 0.5, 75, 1330, 511 
0.9, 0.5, 0.5, 100, 1443, 495 
0.9, 0.5, 0.75, 25, 690, 435 
0.9, 0.5, 0.75, 50, 1083, 547 
0.9, 0.5, 0.75, 75, 1302, 516 
0.9, 0.5, 0.75, 100, 1429, 496 
0.9, 0.5, 1, 25, 665, 437 
0.9, 0.5, 1, 50, 1064, 548 
0.9, 0.5, 1, 75, 1281, 516 
0.9, 0.5, 1, 100, 1417, 501 
0.9, 0.75, 0, 25, 802, 432 
0.9, 0.75, 0, 50, 1212, 543 
0.9, 0.75, 0, 75, 1393, 514 
0.9, 0.75, 0, 100, 1485, 496 
0.9, 0.75, 0.25, 25, 744, 437 
0.9, 0.75, 0.25, 50, 1158, 540 
0.9, 0.75, 0.25, 75, 1357, 513 
0.9, 0.75, 0.25, 100, 1464, 495 
0.9, 0.75, 0.5, 25, 720, 435 
0.9, 0.75, 0.5, 50, 1125, 543 
0.9, 0.75, 0.5, 75, 1330, 511 
0.9, 0.75, 0.5, 100, 1443, 495 
0.9, 0.75, 0.75, 25, 690, 435 
0.9, 0.75, 0.75, 50, 1083, 547 
0.9, 0.75, 0.75, 75, 1302, 516 
0.9, 0.75, 0.75, 100, 1429, 496 
0.9, 0.75, 1, 25, 665, 437 
0.9, 0.75, 1, 50, 1064, 548 
0.9, 0.75, 1, 75, 1281, 516 
0.9, 0.75, 1, 100, 1417, 501 
0.9, 1, 0, 25, 802, 432 
0.9, 1, 0, 50, 1212, 543 
0.9, 1, 0, 75, 1393, 514 
0.9, 1, 0, 100, 1485, 496 
0.9, 1, 0.25, 25, 744, 437 
0.9, 1, 0.25, 50, 1158, 540 
0.9, 1, 0.25, 75, 1357, 513 
0.9, 1, 0.25, 100, 1464, 495 
0.9, 1, 0.5, 25, 720, 435 
0.9, 1, 0.5, 50, 1125, 543 
0.9, 1, 0.5, 75, 1330, 511 
0.9, 1, 0.5, 100, 1443, 495 
0.9, 1, 0.75, 25, 690, 435 
0.9, 1, 0.75, 50, 1083, 547 
0.9, 1, 0.75, 75, 1302, 516 
0.9, 1, 0.75, 100, 1429, 496 
0.9, 1, 1, 25, 665, 437 
0.9, 1, 1, 50, 1064, 548 
0.9, 1, 1, 75, 1281, 516 
0.9, 1, 1, 100, 1417, 501 
1, 0.125, 0, 25, 784, 427 
1, 0.125, 0, 50, 1209, 542 
1, 0.125, 0, 75, 1398, 514 
1, 0.125, 0, 100, 1492, 495 
1, 0.125, 0.25, 25, 726, 433 
1, 0.125, 0.25, 50, 1155, 541 
1, 0.125, 0.25, 75, 1361, 511 
1, 0.125, 0.25, 100, 1481, 492 
1, 0.125, 0.5, 25, 699, 431 
1, 0.125, 0.5, 50, 1116, 542 
1, 0.125, 0.5, 75, 1344, 510 
1, 0.125, 0.5, 100, 1454, 493 
1, 0.125, 0.75, 25, 671, 433 
1, 0.125, 0.75, 50, 1067, 546 
1, 0.125, 0.75, 75, 1306, 514 
1, 0.125, 0.75, 100, 1434, 496 
1, 0.125, 1, 25, 653, 435 
1, 0.125, 1, 50, 1062, 546 
1, 0.125, 1, 75, 1280, 516 
1, 0.125, 1, 100, 1419, 499 
1, 0.25, 0, 25, 784, 427 
1, 0.25, 0, 50, 1209, 542 
1, 0.25, 0, 75, 1398, 514 
1, 0.25, 0, 100, 1492, 495 
1, 0.25, 0.25, 25, 726, 433 
1, 0.25, 0.25, 50, 1155, 541 
1, 0.25, 0.25, 75, 1361, 511 
1, 0.25, 0.25, 100, 1481, 492 
1, 0.25, 0.5, 25, 699, 431 
1, 0.25, 0.5, 50, 1116, 542 
1, 0.25, 0.5, 75, 1344, 510 
1, 0.25, 0.5, 100, 1454, 493 
1, 0.25, 0.75, 25, 671, 433 
1, 0.25, 0.75, 50, 1067, 546 
1, 0.25, 0.75, 75, 1306, 514 
1, 0.25, 0.75, 100, 1434, 496 
1, 0.25, 1, 25, 653, 435 
1, 0.25, 1, 50, 1062, 546 
1, 0.25, 1, 75, 1280, 516 
1, 0.25, 1, 100, 1419, 499 
1, 0.5, 0, 25, 784, 427 
1, 0.5, 0, 50, 1209, 542 
1, 0.5, 0, 75, 1398, 514 
1, 0.5, 0, 100, 1492, 495 
1, 0.5, 0.25, 25, 726, 433 
1, 0.5, 0.25, 50, 1155, 541 
1, 0.5, 0.25, 75, 1361, 511 
1, 0.5, 0.25, 100, 1481, 492 
1, 0.5, 0.5, 25, 699, 431 
1, 0.5, 0.5, 50, 1116, 542 
1, 0.5, 0.5, 75, 1344, 510 
1, 0.5, 0.5, 100, 1454, 493 
1, 0.5, 0.75, 25, 671, 433 
1, 0.5, 0.75, 50, 1067, 546 
1, 0.5, 0.75, 75, 1306, 514 
1, 0.5, 0.75, 100, 1434, 496 
1, 0.5, 1, 25, 653, 435 
1, 0.5, 1, 50, 1062, 546 
1, 0.5, 1, 75, 1280, 516 
1, 0.5, 1, 100, 1419, 499 
1, 0.75, 0, 25, 784, 427 
1, 0.75, 0, 50, 1209, 542 
1, 0.75, 0, 75, 1398, 514 
1, 0.75, 0, 100, 1492, 495 
1, 0.75, 0.25, 25, 726, 433 
1, 0.75, 0.25, 50, 1155, 541 
1, 0.75, 0.25, 75, 1361, 511 
1, 0.75, 0.25, 100, 1481, 492 
1, 0.75, 0.5, 25, 699, 431 
1, 0.75, 0.5, 50, 1116, 542 
1, 0.75, 0.5, 75, 1344, 510 
1, 0.75, 0.5, 100, 1454, 493 
1, 0.75, 0.75, 25, 671, 433 
1, 0.75, 0.75, 50, 1067, 546 
1, 0.75, 0.75, 75, 1306, 514 
1, 0.75, 0.75, 100, 1434, 496 
1, 0.75, 1, 25, 653, 435 
1, 0.75, 1, 50, 1062, 546 
1, 0.75, 1, 75, 1280, 516 
1, 0.75, 1, 100, 1419, 499 
1, 1, 0, 25, 784, 427 
1, 1, 0, 50, 1209, 542 
1, 1, 0, 75, 1398, 514 
1, 1, 0, 100, 1492, 495 
1, 1, 0.25, 25, 726, 433 
1, 1, 0.25, 50, 1155, 541 
1, 1, 0.25, 75, 1361, 511 
1, 1, 0.25, 100, 1481, 492 
1, 1, 0.5, 25, 699, 431 
1, 1, 0.5, 50, 1116, 542 
1, 1, 0.5, 75, 1344, 510 
1, 1, 0.5, 100, 1454, 493 
1, 1, 0.75, 25, 671, 433 
1, 1, 0.75, 50, 1067, 546 
1, 1, 0.75, 75, 1306, 514 
1, 1, 0.75, 100, 1434, 496 
1, 1, 1, 25, 653, 435 
1, 1, 1, 50, 1062, 546 
1, 1, 1, 75, 1280, 516 
1, 1, 1, 100, 1419, 499 
